"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
           0,       0.227054916,     -0.7653086123,        1.72548856,      -12.71699622,       3.844540257,      -11.22560863,   9.273286302e-09,   4.781648779e-07,              4.04,              4.04,              4.04
           1,      0.2175546835,     -0.9414683188,       1.512733366,       1.234122281,       3.644220848,       -11.2367396,   9.527924375e-09,   4.902813428e-07,            4.0804,            4.0804,            4.0804
           2,      0.2098178557,      -1.033555509,       1.406963486,       1.009166052,       3.554136019,      -11.22576362,   9.632921296e-09,   5.324288287e-07,          4.121204,          4.121204,          4.121204
           3,      0.2062727408,       -1.08650897,       1.352709224,      0.8961815891,       3.552263277,      -11.22763923,   9.734500024e-09,   5.788155441e-07,        4.16241604,        4.16241604,        4.16241604
           4,      0.2038304706,      -1.130349654,       1.319405423,      0.8461307844,       3.558709242,      -11.23355739,   9.834878306e-09,   6.268792649e-07,         4.2040402,         4.2040402,         4.2040402
           5,      0.2021589257,      -1.168223923,       1.293611868,      0.8245575292,       3.559587748,      -11.23892637,   9.935125502e-09,   6.746465152e-07,       4.246080602,       4.246080602,       4.246080602
           6,      0.2012600483,      -1.200567028,       1.271054845,      0.8145721703,       3.551159385,      -11.24260974,   1.003575009e-08,   7.203880358e-07,       4.288541408,       4.288541408,       4.288541408
           7,      0.2003889018,      -1.227524092,       1.250529125,      0.8088689045,       3.536095971,      -11.24507009,   1.013700908e-08,   7.625213751e-07,       4.331426823,       4.331426823,       4.331426823
           8,      0.1999734226,      -1.249565989,       1.231684645,      0.8040645527,       3.518803447,      -11.24728687,   1.023904391e-08,   7.996847026e-07,       4.374741091,       4.374741091,       4.374741091
           9,      0.1995347353,      -1.267578569,       1.214354513,      0.7986573251,       3.502040628,      -11.25012779,   1.034193964e-08,   8.309128041e-07,       4.418488502,       4.418488502,       4.418488502
          10,      0.1991407527,       -1.28262691,        1.19839855,      0.7921994641,       3.487005377,      -11.25409139,    1.04457519e-08,   8.557930596e-07,       4.462673387,       4.462673387,       4.462673387
          11,      0.1987834482,      -1.294184293,       1.183641454,      0.7848244974,       3.472894845,      -11.26170647,   1.055051999e-08,   8.785303455e-07,       4.507300121,       4.507300121,       4.507300121
          12,       0.198442898,      -1.305998038,       1.170531765,      0.7768694272,       3.461727724,      -11.26740855,   1.065627361e-08,   9.014849762e-07,       4.552373122,       4.552373122,       4.552373122
          13,      0.1981633484,      -1.316948858,       1.158106515,      0.7686495301,        3.45133455,      -11.27297827,   1.076303661e-08,    9.21460969e-07,       4.597896853,       4.597896853,       4.597896853
          14,      0.1980741417,      -1.326435263,        1.14634242,      0.7638109908,       3.442570293,      -11.27967206,   1.087082907e-08,   9.388371518e-07,       4.643875821,       4.643875821,       4.643875821
          15,      0.1980134829,      -1.326686124,       1.135249586,      0.7575148844,       3.444004116,      -11.28661401,   1.097966863e-08,   9.542444012e-07,        4.69031458,        4.69031458,        4.69031458
          16,      0.1978526943,      -1.346017185,       1.124473315,      0.7446301643,        3.42341446,      -11.29317952,   1.108957128e-08,   9.680879853e-07,       4.737217725,       4.737217725,       4.737217725
          17,      0.1976984773,      -1.349352674,       1.115427271,      0.7375926178,       3.415602347,      -11.30084625,   1.120055185e-08,   9.806027934e-07,       4.784589903,       4.784589903,       4.784589903
          18,      0.1975188687,      -1.347185257,       1.106885901,      0.7304574071,       3.432927833,       -11.3083908,   1.131262443e-08,   9.922446402e-07,       4.832435802,       4.832435802,       4.832435802
          19,      0.1976787317,      -1.349575314,       1.098077124,      0.7265815201,       3.422182467,      -11.31544498,   1.142580251e-08,   1.003253897e-06,        4.88076016,        4.88076016,        4.88076016
          20,      0.1975546189,      -1.364299532,       1.087856618,      0.7147299966,         3.4194051,      -11.32352167,   1.154009923e-08,   1.013388542e-06,       4.929567761,       4.929567761,       4.929567761
          21,      0.2000469727,      -1.231380926,       1.107371998,      0.7016017269,       3.508070552,       -11.3340977,   1.165552747e-08,   1.022897152e-06,       4.929567761,       4.978863439,       4.978861603
          22,      0.1997836601,      -1.346679506,       1.080911364,      0.7072901861,        3.43196761,      -11.34168982,   1.177209991e-08,   1.033794119e-06,       4.978863439,       5.028652073,       5.028650219
          23,      0.1995799635,      -1.374259212,       1.064455866,      0.6867980824,       3.426263775,      -11.34469422,   1.188982914e-08,   1.043794751e-06,       5.028652073,       5.078938594,       5.078936721
          24,      0.1994811533,      -1.391952563,       1.056583172,      0.6788086257,        3.39565186,      -11.34957096,   1.200872768e-08,   1.050861634e-06,       5.078938594,        5.12972798,       5.129726088
          25,      0.1992838452,      -1.395328658,       1.048173296,      0.6520523607,       3.378296284,      -11.35340259,   1.212880802e-08,   1.055632267e-06,        5.12972798,        5.18102526,       5.181023349
          26,      0.1994014506,      -1.393934569,       1.041738826,      0.6364692891,         3.3822331,      -11.35572672,   1.225008265e-08,   1.070596673e-06,        5.18102526,       5.232835512,       5.232833583
          27,       0.199209028,      -1.379126564,       1.038148895,      0.6546979385,       3.375540459,       -11.3644687,   1.237256408e-08,   1.109601078e-06,       5.232835512,       5.285163868,       5.285161918
          28,      0.1991422886,      -1.410601612,       1.026854115,      0.6103092687,       3.354059617,      -11.36779039,   1.249626489e-08,   1.147378493e-06,       5.285163868,       5.338015506,       5.338013538
          29,       0.199074819,      -1.409690449,       1.022025694,      0.5997776121,       3.357139847,      -11.37138612,   1.262119767e-08,   1.183383956e-06,       5.338015506,       5.391395661,       5.391391685
          30,      0.1989246885,      -1.368752742,       1.016666825,      0.6243884194,       3.411656832,      -11.37300998,   1.274737512e-08,   1.216262178e-06,       5.391395661,       5.445309618,       5.445303593
          31,      0.1987814773,      -1.421455406,       1.020985303,      0.6033957898,       3.369286912,      -11.37782847,   1.287480999e-08,   1.244153445e-06,       5.445309618,       5.499762714,       5.499756629
          32,      0.1986303418,      -1.427061292,       1.009451557,      0.5563717544,       3.381077638,      -11.38447363,   1.300351515e-08,    1.26643157e-06,       5.499762714,       5.554760341,       5.554754195
          33,      0.1984883174,      -1.426211893,      0.9963844579,      0.5422309126,       3.345681811,      -11.38735957,   1.313350352e-08,   1.284209838e-06,       5.554760341,       5.610307945,       5.610301737
          34,      0.1984381604,      -1.423997003,      0.9880037922,      0.5363230891,       3.362925309,      -11.38540835,   1.326478815e-08,   1.298088596e-06,       5.554760341,       5.666411024,       5.666402686
          35,      0.1983263627,      -1.404105723,       1.010857432,      0.5930271816,       3.397376322,      -11.39414947,    1.33973822e-08,   1.308046588e-06,       5.610307945,       5.723075134,       5.723066712
          36,      0.1982651578,      -1.422686124,      0.9805654731,       0.520606291,       3.361884384,      -11.39747852,    1.35312989e-08,   1.334829239e-06,       5.666411024,       5.780305886,        5.78029738
          37,      0.1981563866,      -1.426075033,      0.9880348233,      0.5524174273,       3.335950889,      -11.40242556,   1.366655164e-08,   1.363449142e-06,       5.723075134,       5.838108945,       5.838100353
          38,      0.1980550755,      -1.438843243,      0.9661615266,      0.5059895088,       3.353369257,      -11.40050977,   1.380315389e-08,   1.387077888e-06,       5.780305886,       5.896490034,       5.896481357
